Fecha y hora,Vehiculo,Edad,Sexo,Tipo de Siniestro,Otro vehiculo,Lugar del Siniestro
15/03/2012 08:05,MOTO,36,M,CAIDA,-,"SARANDI  esq. BRASIL, RIVERA"
17/03/2012 07:35,MOTO,28,M,COLISION ENTRE VEHICULOS,OMNIBUS,"RUTA OCHENTA Y CUATRO , CANELONES"
17/03/2012 08:15,AUTO,62,M,DESPISTE,,"RUTA 26 KM. 136, PAYSANDU"
17/03/2012 20:40,PEATON,76,M,ATROPELLO DE PEATON,MOTO,"ENTRE RIOS Y COLON, SALTO"
17/03/2012 22:50,MOTO,25,M,COLISION ENTRE VEHICULOS,CAMIONETA,"RUTA 1 esq. Eduardo Pascual, SAN JOSE"
17/03/2012 22:50,MOTO,35,M,COLISION ENTRE VEHICULOS,CAMIONETA,"RUTA 1 esq. Eduardo Pascual, SAN JOSE"
18/03/2012 00:50,MOTO,50,M,COLISION ENTRE VEHICULOS,BICICLETA,"AVENIDA GENERAL SAN MARTIN esq. CAMINO DOMINGO ARENA, MONTEVIDEO"
18/03/2012 00:50,BICICLETA,29,M,COLISION ENTRE VEHICULOS,MOTO,"AVENIDA GENERAL SAN MARTIN esq. CAMINO DOMINGO ARENA, MONTEVIDEO"
18/03/2012 19:30,MOTO,59,M,COLISION ENTRE VEHICULOS,CAMIONETA,"LA GRUTAS esq. BANDA ORIENTAL, CANELONES"
21/03/2012 11:00,PEATON,77,M,ATROPELLO DE PEATON,CAMIONETA,"E. MARTINEZ MONEGAL esq. BRIGADIER GENERAL LAVALLEJA, CANELONES"
21/03/2012 17:50,MOTO,46,M,DESPISTE,-,"RUTA 8 KM 446, CERRO LARGO"
23/03/2012 13:02,MOTO,19,M,COLISION ENTRE VEHICULOS,AUTO,"VICENTE YA„EZ PINZON Nro. 4601 esq. ANTONIO ZUBILLAGA, MONTEVIDEO"
23/03/2012 14:45,MOTO,60,M,COLISION ENTRE VEHICULOS,MOTO,"AVENIDA REPUBLICA ARGENTINA esq. JOAQUIN SUAREZ, PAYSANDU"
24/03/2012 06:05,AUTO,36,M,COLISION ENTRE VEHICULOS,CAMION,"RUTA 54 KM 5, COLONIA"
24/03/2012 08:50,BICICLETA,59,M,COLISION ENTRE VEHICULOS,CAMIONETA,"TOMAS PENINOesq. RUTA UNO, SAN JOSE"
24/03/2012 09:40,AUTO,65,M,COLISION ENTRE VEHICULOS,CAMION,"ROBINSON esq. JAIME ROLDOS Y PONS, MONTEVIDEO"
24/03/2012 17:25,MOTO,44,M,COLISION ENTRE VEHICULOS,CAMIONETA,"RAMBLA EDISON esq. GENERAL PACHECO, MONTEVIDEO"
25/03/2012 05:20,AUTO,Sin Dato,M,DESPISTE,-,"CAMINO 19 DFE ABRIL Y PTE TAMANDUA, ARTIGAS"
25/03/2012 09:15,CAMIONETA,28,M,COLISION ENTRE VEHICULOS,CAMION,"RUTA 5 KM. 100, FLORIDA"
25/03/2012 20:00,AUTO,Sin Dato,M,COLISION ENTRE VEHICULOS,AUTO,"RUTA 3 KM 179, FLORES"
28/03/2012 02:20,MOTO,43,M,CAIDA,-,"LAURELES Nro. 950 esq. HEREDIA, MONTEVIDEO"
28/03/2012 11:35,AUTO,51,M,DESPISTE,-,"RUTA DE ACCESO esq. AVENIDA DOCTOR SANTIN CARLOS ROSSI, MONTEVIDEO"
29/03/2012 19:40,BICICLETA,62,M,COLISION ENTRE VEHICULOS,CAMIONETA,"RUTA 5 KM. 387, TACUAREMBî"
29/03/2012 20:15,PEATON,82,F,ATROPELLO DE PEATON,MOTO,"ATANASIO LAPIDO Y CABRERA, MALDONADO"
30/03/2012 18:56,PEATON,1,M,ATROPELLO DE PEATON,MOTO,"CNO. CARRASCO Y SERSALES, CANELONES"
30/03/2012 22:30,CAMIONETA,56,M,COLISION ENTRE VEHICULOS,AUTO,"VEINTICINCO DE MAYO esq. DIECIOCHO DE JULIO, MALDONADO"
31/03/2012 07:30,MOTO,23,M,COLISION ENTRE VEHICULOS,CAMION,"AVENIDA DIECIOCHO DE JULIO esq. SALTO, RIO NEGRO"
31/03/2012 16:05,MOTO,42,M,COLISION ENTRE VEHICULOS,AUTO,"RUTA 6 KM. 203, DURAZNO"
31/03/2012 18:10,MOTO,18,F,COLISION ENTRE VEHICULOS,MOTO,"AV. PATULE Y 18 DE JULIO, SALTO"
31/03/2012 18:20,MOTO,30,M,COLISION ENTRE VEHICULOS,CAMIONETA,"DOCTOR CARLOS MARIA DE PENA Nro. 5652 esq. FARAMI„AN, MONTEVIDEO"
1/4/12 0:30,MOTO,43,M,COLISION ENTRE VEHICULOS,OMNIBUS,"AVENIDA GENERAL SAN MARTIN esq. FOMENTO, MONTEVIDEO"
1/4/12 2:00,MOTO,38,M,CAIDA,-,"TREINTA Y TRES esq. BALNEARIO R. BARRIOS, CANELONES"
1/4/12 3:00,MOTO,26,M,DESPISTE,-,"RUTA 39 PROX A CYLSA, MALDONADO"
1/4/12 15:40,PEATON,72,F,ATROPELLO DE PEATON,OMNIBUS,"CAMINO MALDONADO Nro. 5599 esq. PETEROA, MONTEVIDEO"
2/4/12 5:15,MOTO,21,M,CAIDA,-,"AVENIDA BATLLE esq. OFICIAL DOS (CHINCHURRETA), SALTO"
2/4/12 20:00,MOTO,48,M,COLISION ENTRE VEHICULOS,CAMION,"TREINTA Y TRES esq. BALNEARIO R. BARRIOS, CANELONES"
2/4/12 20:40,MOTO,18,M,CAIDA,-,"VERDUN esq. CAMINO DE LAS TROPAS --CERRO NORTE - LA PALOMA--, MONTEVIDEO"
3/4/12 7:45,MOTO,20,M,CAIDA,-,"AVENIDA DE LAS LEYES esq. COLOMBIA, MONTEVIDEO"
3/4/12 22:40,MOTO,61,M,CAIDA,-,"REPUBLICA ESPA„OLA y AVENIDA BRASIL, ROCHA"
4/4/12 17:15,MOTO,20,M,COLISION ENTRE VEHICULOS,CAMION,"CAMINO TOMKINSON , MONTEVIDEO"
4/4/12 19:40,MOTO,56,M,COLISION ENTRE VEHICULOS,CAMIONETA,"RUTA 8 KM. 256, LAVALLEJA"
5/4/12 5:15,MOTO,Sin Dato,M,CAIDA,-,"MIREYA esq. AVENIDA ITALIA (RUTA SIETE), CERRO LARGO"
5/4/12 15:26,PEATON,49,M,ATROPELLO DE PEATON,CAMION,"CAMINO MELILLA Nro. 10270  esq. CAMINO SERE, MONTEVIDEO"
9/4/12 17:50,MOTO,43,M,COLISION ENTRE VEHICULOS,CAMIONETA,"AVENIDA FRANKLIN D. ROOSEVELT, MALDONADO"
9/4/12 19:50,MOTO,47,M,COLISION ENTRE VEHICULOS,CAMION,"SARMIENTO , MALDONADO"
